date,cummulative_ice_mass_change
2002-04-16,0.0
2002-05-08,19.48
2002-08-14,-58.91
2002-09-16,47.16
2002-10-15,63.42
2002-11-13,-67.41
2002-12-16,-49.02
2003-01-15,-48.42
2003-02-13,-199.36
2003-03-14,-170.58
2003-04-16,-43.24
2003-05-12,0.79
2003-07-16,-127.98
2003-08-14,-121.67
2003-09-16,-130.28
2003-10-15,-47.47
2003-11-13,-106.66
2003-12-16,-272.18
2004-01-08,-329.2
2004-02-17,-491.31
2004-03-17,-340.3
2004-04-15,-386.05
2004-05-14,-155.49
2004-06-16,-187.95
2004-07-15,-313.33
2004-08-13,-165.84
2004-09-15,-160.77
2004-10-14,-85.93
2004-11-12,-226.0
2004-12-15,-305.46
2005-01-15,-393.93
2005-02-13,-454.97
2005-03-14,-405.23
2005-04-16,-251.37
2005-05-15,-228.44
2005-06-17,-203.53
2005-07-16,-158.73
2005-08-14,-208.9
2005-09-16,-112.4
2005-10-15,-105.47
2005-11-13,-58.46
2005-12-16,-159.09
2006-01-15,-224.74
2006-02-13,-317.94
2006-03-14,-182.87
2006-04-16,-158.2
2006-05-15,-80.91
2006-06-13,-48.72
2006-07-16,-98.35
2006-08-14,-8.54
2006-09-16,-20.02
2006-10-15,-96.06
2006-11-13,-89.3
2006-12-16,-234.2
2007-01-15,-438.79
2007-02-13,-429.59
2007-03-14,-361.06
2007-04-16,-336.29
2007-05-15,-179.53
2007-06-13,-191.34
2007-07-16,-268.11
2007-08-14,-229.94
2007-09-16,-156.77
2007-10-15,-246.67
2007-11-13,-438.39
2007-12-16,-521.24
2008-01-15,-729.64
2008-02-13,-607.59
2008-03-17,-740.76
2008-04-15,-561.68
2008-05-14,-473.58
2008-06-16,-557.79
2008-07-15,-651.46
2008-08-13,-603.25
2008-09-15,-442.26
2008-10-14,-533.13
2008-11-12,-520.47
2008-12-15,-624.26
2009-01-15,-706.63
2009-02-13,-681.11
2009-03-14,-617.1
2009-04-16,-579.96
2009-05-15,-553.68
2009-06-17,-540.14
2009-07-16,-435.79
2009-08-14,-466.54
2009-09-16,-480.08
2009-10-15,-534.99
2009-11-13,-520.87
2009-12-16,-630.91
2010-01-15,-801.77
2010-02-13,-806.65
2010-03-14,-687.35
2010-04-16,-758.91
2010-05-15,-780.45
2010-06-13,-793.28
2010-07-16,-996.93
2010-08-14,-925.89
2010-09-16,-847.39
2010-10-15,-879.09
2010-11-13,-899.52
2010-12-13,-912.11
2011-02-17,-1001.4
2011-03-14,-1017.22
2011-04-16,-1029.63
2011-05-15,-964.41
2011-07-16,-909.93
2011-08-14,-926.28
2011-09-16,-837.98
2011-10-15,-884.18
2011-10-30,-879.89
2012-01-01,-1147.68
2012-01-15,-1077.87
2012-02-13,-1140.7
2012-03-17,-1118.6
2012-04-04,-1056.14
2012-06-16,-1094.26
2012-07-15,-1061.31
2012-08-13,-982.1
2012-09-11,-946.36
2012-11-16,-1068.3
2012-12-15,-1117.28
2013-01-15,-1287.44
2013-02-13,-1395.07
2013-04-20,-1135.15
2013-05-15,-1238.44
2013-06-17,-1246.58
2013-07-16,-1208.61
2013-10-15,-1299.13
2013-11-13,-1347.41
2013-12-16,-1398.0
2014-01-08,-1504.2
2014-03-14,-1615.97
2014-04-16,-1535.28
2014-05-15,-1441.75
2014-06-13,-1484.85
2014-08-14,-1533.5
2014-09-16,-1360.83
2014-10-15,-1450.29
2014-11-17,-1525.85
2015-01-22,-1827.36
2015-02-13,-1903.51
2015-03-14,-1873.22
2015-04-16,-1851.66
2015-04-27,-1777.77
2015-07-13,-1743.11
2015-08-14,-1896.93
2015-09-12,-1849.2
2015-12-23,-1893.45
2016-01-15,-1916.52
2016-02-13,-1992.84
2016-03-17,-1928.48
2016-05-18,-1790.89
2016-06-16,-1774.67
2016-07-15,-1654.52
2016-08-21,-1600.82
2016-11-27,-1671.06
2016-12-22,-1585.09
2017-01-22,-1604.8
2017-04-02,-1929.12
2017-04-23,-1849.02
2017-05-12,-1814.26
2017-06-10,-1812.56
2018-06-13,-1982.53
2018-07-09,-1997.66
2018-10-30,-2256.76
2018-11-13,-2221.66
2018-12-16,-2274.75
2019-01-15,-2365.49
2019-02-13,-2408.64
2019-03-14,-2312.66
2019-04-16,-2132.21
2019-05-15,-2184.59
2019-06-13,-2276.78
2019-07-16,-2181.26
2019-08-14,-2226.83
2019-09-16,-2102.5
2019-10-15,-2285.44
2019-11-13,-2346.33
2019-12-16,-2392.61
2020-01-15,-2701.78
2020-02-13,-2807.34
2020-03-17,-2627.62
2020-04-15,-2535.11
2020-05-14,-2456.72
2020-06-16,-2424.33
2020-07-15,-2357.15
2020-08-13,-2249.69
2020-09-15,-2437.63
2020-10-14,-2537.64
2020-11-12,-2587.65
2020-12-15,-2746.0
